msg_partner_001={0x0102,0x0001}が　{0x0100,0x0000}を[0x000A]つっついて　きた！{0xBE00}[0x000A]つっつき　かえしますか？
msg_partner_002={0x0102,0x0001}は　足に[0x000A]ぺったり　くっついてきた
msg_partner_094={0x0102,0x0001}は　船と[0x000A]一緒に　ゆらゆらしてる！
msg_partner_095={0x0102,0x0001}は　ふらふら　してる！
msg_partner_096={0x0102,0x0001}は[0x000A]プルプル　震えてる……
msg_partner_097={0x0102,0x0001}は　ポケモンリーグを[0x000A]まっすぐ　見つめてる
msg_partner_098={0x0102,0x0001}は[0x000A]ボッと　炎を　出した！
msg_partner_099={0x0102,0x0001}は　炎を　出して[0x000A]気合を　入れた！
msg_partner_100={0x0102,0x0001}は　ボロボロの[0x000A]床を　見つめてる
msg_partner_101={0x0102,0x0001}は　船に[0x000A]乗れて　楽しそう！
msg_partner_102={0x0102,0x0001}は　まだまだ　元気　だ！
msg_partner_103={0x0102,0x0001}は　まだまだ[0x000A]船から　降りたくない　みたい
msg_partner_104={0x0102,0x0001}は　まわりを見て[0x000A]ぽかーんと　してる
msg_partner_105={0x0102,0x0001}は　水を[0x000A]ぴゅーっと　出した！
msg_partner_106={0x0102,0x0001}は　目を閉じて[0x000A]静かに　している……
msg_partner_107={0x0102,0x0001}は　森を　見上げて[0x000A]キョロキョロ　してる
msg_partner_108={0x0102,0x0001}は[0x000A]やけどが　痛そうだ！
msg_partner_109={0x0102,0x0001}は　山を[0x000A]じーっと　見つめてる
msg_partner_110={0x0102,0x0001}は　山を見て[0x000A]楽しそうに　してる！
msg_partner_111={0x0102,0x0001}は[0x000A]優雅に　空を　飛んでいる！
msg_partner_112={0x0102,0x0001}は　ゆったり[0x000A]リラックス　してる
msg_partner_113={0x0102,0x0001}は　揺れる船に[0x000A]あわせて　踊ってる！
msg_partner_114={0x0102,0x0001}は[0x000A]余裕　たっぷりだ！
msg_partner_115={0x0102,0x0001}は[0x000A]足元を　つついて　きた
msg_partner_116={0x0102,0x0001}は[0x000A]勢いよく　炎を　出した！
msg_partner_117={0x0102,0x0001}は[0x000A]今にも　倒れそうだ！
msg_partner_118={0x0102,0x0001}は[0x000A]嬉しくて　歌ってる！
msg_partner_119={0x0102,0x0001}は　なんだか[0x000A]嬉しくて　照れちゃってる！
msg_partner_120={0x0102,0x0001}は[0x000A]ウワーっと　あくびを　した！
msg_partner_121={0x0102,0x0001}は[0x000A]お腹を　ツンツン　してきた！
msg_partner_122={0x0102,0x0001}は　{0x0100,0x0000}の[0x000A]顔を　じーっと見てる
msg_partner_123={0x0102,0x0001}は[0x000A]気持ち良さそうに　風を　うけてる
msg_partner_124={0x0102,0x0001}は[0x000A]キョロキョロ　ビルを　眺めてる
msg_partner_125={0x0102,0x0001}は　草むらから[0x000A]石ころを　見つけて　喜んでる！
msg_partner_126={0x0102,0x0001}は　草むらを[0x000A]踏みしめている！
msg_partner_127={0x0102,0x0001}は　クンクン[0x000A]部屋の　匂いを　嗅いでる
msg_partner_128={0x0102,0x0001}は　元気に[0x000A]ついて　きてる！
msg_partner_129={0x0102,0x0001}は　寒くて[0x000A]プルプル　してる……
msg_partner_130={0x0102,0x0001}は　下を[0x000A]じーっと　覗いている
msg_partner_131={0x0102,0x0001}は　少し[0x000A]怖がっているみたい……
msg_partner_132={0x0102,0x0001}は　空を[0x000A]じーっと　見つめている
msg_partner_133={0x0102,0x0001}は[0x000A]空を　見上げている
msg_partner_134={0x0102,0x0001}は　遠くを[0x000A]じーっと　見つめてる
msg_partner_135={0x0102,0x0001}は　毒で[0x000A]ぶるぶる　してる……
msg_partner_136={0x0102,0x0001}は[0x000A]とっても　喜んでる！
msg_partner_137={0x0102,0x0001}は[0x000A]なんとか　ついて　きてる
msg_partner_138={0x0102,0x0001}は[0x000A]眠いのを　なんとか　こらえてる……
msg_partner_139={0x0102,0x0001}は　眠くて[0x000A]うとうと　してる……
msg_partner_140={0x0102,0x0001}は　ノリノリで[0x000A]ダンスを　踊った！
msg_partner_141={0x0102,0x0001}は　葉っぱを[0x000A]ピョコピョコ　させてる
msg_partner_142={0x0102,0x0001}は　葉っぱを[0x000A]フリフリ　してる
msg_partner_143={0x0102,0x0001}は[0x000A]火を　ボッと　出した
msg_partner_144={0x0102,0x0001}は　火を[0x000A]ボボッと　出した
msg_partner_145={0x0102,0x0001}は　火を[0x000A]ポンッポンッと　出している
msg_partner_146={0x0102,0x0001}は　やる気　いっぱいだ！
msg_partner_147=……[0x000A]くしゃみ　したみたい！
msg_partner_148=……[0x000A]ちょっと　寒そうに　してる
msg_partner_149=……[0x000A]なにか　変なものを　食べたみたい{0xBE00}[0x000A]まずそうな　顔をしてる……
msg_partner_150=……[0x000A]なにかに　びっくり　している
msg_partner_151=……[0x000A]なにかを　怖がってる
msg_partner_152=……[0x000A]なんだか　いい匂いが　するみたい
msg_partner_153=……あ！[0x000A]棚を　いじろうと　してる！{0xBE00}[0x000A]注意　しますか？
msg_partner_154=……[0x000A]こっちを　睨んでる
msg_partner_155=……棚が[0x000A]崩れそうになって　びっくりした！
msg_partner_156=……[0x000A]棚が　ぐちゃぐちゃに　なった
msg_partner_157=……[0x000A]目を　合わせて　くれない
msg_partner_158=……[0x000A]呼んでも　こっちに　来てくれない
msg_partner_159=あ！　{0x0102,0x0001}は[0x000A]コードを　くわえてる！{0xBE00}[0x000A]怒りますか？
msg_partner_160=あ！[0x000A]つまみ食いを　しようとしてる！{0xBE00}[0x000A]注意　しますか？
msg_partner_161=あ！[0x000A]葉っぱが　ついてる！
msg_partner_162={0x0100,0x0000}の　足跡を[0x000A]見て　喜んでる！
msg_partner_163=いい天気で　嬉しい　みたい！
msg_partner_164=クンクン！[0x000A]いい匂いが　するみたい！
msg_partner_165={0x0102,0x0001}は[0x000A]嫌がって　怒りだした！
msg_partner_166=色んな　道具を　ジロジロ見てる
msg_partner_167={0x0102,0x0001}は　奇妙な　動きで[0x000A]フラフラと　踊った
msg_partner_168={0x0102,0x0001}は[0x000A]ユラユラ　不思議に　踊った
msg_partner_169={0x0102,0x0001}は　奇妙な　動きで[0x000A]ユラーッと　踊った
msg_partner_170={0x0102,0x0001}は[0x000A]ユラユラーっと　不思議に　踊った
msg_partner_171=うみを　ジッと　見つめてる！
msg_partner_172=ウワーっと　あくびをした！
msg_partner_173=奥のほうから[0x000A]風が　吹いてくる　みたい
msg_partner_174={0x0102,0x0001}は[0x000A]やる気を　出している！
msg_partner_175=体を　のばして[0x000A]リラックス　してる
msg_partner_176=気持ち良くて　眠そうに　してる
msg_partner_177={0x0102,0x0001}は[0x000A]大きく　雄叫びを　あげた！
msg_partner_178={0x0102,0x0001}は　キョロキョロ[0x000A]商品を　見回している
msg_partner_179=クンクン　床の　匂いを　嗅いでる
msg_partner_180=クンクン！[0x000A]なんだか　いい匂いが　するみたい！
msg_partner_181={0x0102,0x0001}は　いつも　以上に[0x000A]ビシビシッと　跳ねている！
msg_partner_182=黒板を[0x000A]じっと　見つめてる……{0xBE00}[0x000A]でも　分からない　みたい
msg_partner_183={0x0102,0x0001}は[0x000A]柵の向こうが　気になる　みたい
msg_partner_184={0x0102,0x0001}は　寒いのが[0x000A]とっても　嬉しい　みたい！
msg_partner_185={0x0102,0x0001}は[0x000A]寒そうにして　近づいてきた！
msg_partner_186=自転車の　ネジを転がしてる
msg_partner_187={0x0102,0x0001}は　ちょっと[0x000A]びっくり　したみたい
msg_partner_188=ちょっと　よだれを　たらしてる……
msg_partner_189=ツンツン　体を[0x000A]つっついてきた！
msg_partner_190=体を　伸ばして[0x000A]リラックス　してる！
msg_partner_191={0x0102,0x0001}は[0x000A]遠くを　じーっと　見つめてる
msg_partner_192=なんだか　怒ってる！
msg_partner_193=なんだか　いい匂いが[0x000A]するみたいで　クンクンしてる！
msg_partner_194=なんだか　壁から[0x000A]音が　するみたい……
msg_partner_195=なんだか　寒い風が　吹いてきた！
msg_partner_196={0x0102,0x0001}は[0x000A]なんだか　恥ずかしそうに　してる
msg_partner_197={0x0102,0x0001}は[0x000A]鼻歌　なんて　歌ってる！　
msg_partner_198=花びらが　顔に　ついてる！
msg_partner_199={0x0102,0x0001}は[0x000A]怒った顔で　唸ってる！
msg_partner_200=ピシャピシャ　水で　遊んでる！
msg_partner_201=びっくりして　こっち向いた！
msg_partner_202=ピョンピョン　とぶのが[0x000A]楽しい　みたい！
msg_partner_203={0x0102,0x0001}は[0x000A]ビリッと　体を　震わせた！
msg_partner_204={0x0102,0x0001}は　ブルブル[0x000A]体を　揺らしている！
msg_partner_205=ブスッとした　顔で[0x000A]そっぽ向いてる……
msg_partner_206=前が　見えなくて　ぶつかった！
msg_partner_207={0x0102,0x0001}は　ブルブル[0x000A]体を　揺らしている！
msg_partner_208=まわりを　キョロキョロ[0x000A]見まわしてる
msg_partner_209={0x0102,0x0001}は[0x000A]いきなり　叫びだした！
msg_partner_210={0x0102,0x0001}は　バシンバシンと[0x000A]地面を　叩きだした！
msg_partner_211={0x0102,0x0001}は[0x000A]天井に　向かって　吠えた！
msg_partner_212={0x0102,0x0001}は　いきなり[0x000A]くるくるっと　回りだした！
msg_partner_213={0x0102,0x0001}は[0x000A]急に　叫び始めた！
msg_partner_214={0x0102,0x0001}は[0x000A]ブルブルッと　震えだした
msg_partner_215=山の　頂上を[0x000A]ジーッと　見つめてる
msg_partner_216=わ！　{0x0102,0x0001}が[0x000A]いきなり　抱きついてきた！
msg_partner_217=わ！　{0x0102,0x0001}が[0x000A]急に　じゃれてきた！
msg_partner_218=わ！　{0x0102,0x0001}は[0x000A]嬉しくて　踊っちゃった！
msg_partner_219=わ！[0x000A]寒い風が　吹いてきた！　……{0xBE00}[0x000A]なんだか　嬉しそうに　してる？
msg_partner_220=わ！[0x000A]急に　すり寄ってきた！{0xBE00}[0x000A]頭を　なでて　あげますか？
msg_partner_221=わ！[0x000A]急に　吠えだした！
msg_partner_222=ちょっと　ピリッと　したみたい！
msg_partner_223={0x0102,0x0001}は　ここぞとばかりに[0x000A]力強さを　アピールした！
msg_partner_224={0x0102,0x0001}は　指を[0x000A]ふりふりして　踊ってる！
msg_partner_225={0x0102,0x0001}は　なんだか[0x000A]興奮して　鼻息が　荒い！
msg_partner_226={0x0102,0x0001}は　ゆらゆらして[0x000A]なんだか　楽しそう
msg_partner_227={0x0102,0x0001}は　ピチピチ[0x000A]跳ねている！
msg_partner_228={0x0102,0x0001}は[0x000A]楽しそうに　ジャンプした！
msg_partner_229={0x0102,0x0001}は　他の[0x000A]ポケモン達と　遊びたそう！
msg_partner_230={0x0102,0x0001}は[0x000A]くるくると　お腹を回した
msg_partner_231=……　おや？[0x000A]{0x0102,0x0001}の　様子が……{0xBE00}[0x000A]変わらなかった！
msg_partner_232={0x0102,0x0001}は　つるを伸ばして[0x000A]絡みついてきた！{0xBE00}[0x000A]なんだか　楽しそう！
msg_partner_233={0x0102,0x0001}は[0x000A]とても　リラックスしてる
msg_partner_234={0x0102,0x0001}は　[0x000A]研究所を　キョロキョロ見てる
msg_partner_235=マシンが　グルグルしてるのが[0x000A]気になるみたい
msg_partner_236={0x0102,0x0001}は[0x000A]やる気を　出している！
msg_partner_237={0x0102,0x0001}は[0x000A]はりきってる！
msg_partner_238={0x0102,0x0001}は[0x000A]ケースの中が　気になるみたい
msg_partner_239={0x0102,0x0001}は[0x000A]キョロキョロ　石を　眺めてる
msg_partner_240={0x0102,0x0001}は[0x000A]海を　ジーッと　見つめてる
msg_partner_241={0x0102,0x0001}は[0x000A]よだれを　たらしてる……
msg_partner_242={0x0102,0x0001}は　喉を[0x000A]ごくっと　鳴らした
msg_partner_243={0x0102,0x0001}は[0x000A]石を　ころころ　転がしてる
msg_partner_244={0x0102,0x0001}は[0x000A]ゆっくりと　頷いた
msg_partner_245={0x0102,0x0001}は[0x000A]気合いを　入れている！
msg_partner_246={0x0102,0x0001}は[0x000A]集中　している……
msg_partner_247={0x0102,0x0001}は[0x000A]いきなり　雄叫びを　あげた！
msg_partner_248=おや？　{0x0102,0x0001}は　なにかを[0x000A]見つけた　みたい！
msg_partner_249={0x0102,0x0001}は　マサキの　姿に[0x000A]びっくりした　みたい！
msg_partner_250={0x0102,0x0001}は　プリンの　歌を[0x000A]聞いて　うとうと　している
msg_partner_251=新しい　名前が　嬉しい　みたい！
msg_partner_252={0x0102,0x0001}は　{0x0100,0x0003}に[0x000A]勝てたのが　嬉しい　みたい！
msg_partner_253={0x0102,0x0001}は[0x000A]新しい　バッジを　見て{0xBE00}[0x000A]とっても　嬉しそう！
msg_partner_254={0x0102,0x0001}は　{0x0102,0x0002}が[0x000A]羨ましい　みたい……{0xBE00}[0x000A]少し　かまって　あげますか？
msg_partner_255={0x0102,0x0001}は　{0x0102,0x0002}の[0x000A]見た目が　気になる　みたい
msg_partner_256={0x0102,0x0001}は　さっき　捕まえた[0x000A]{0x0102,0x0006}のことが{0xBE00}[0x000A]気になる　みたい！
msg_partner_257={0x0102,0x0001}は　{0x0100,0x0000}が[0x000A]勝負に　勝って　嬉しいみたい！
msg_partner_258={0x0102,0x0001}は　{0x0100,0x0000}が[0x000A]拾った　{0x0109,0x0003}を{0xBE00}[0x000A]気にしている！
msg_partner_259={0x0102,0x0001}は　買ったものが[0x000A]気になる　みたい
msg_partner_260={0xBDFF:0x0103}
msg_partner_262={0x0100,0x0000}の　服装を[0x000A]じろじろ　見てる！
msg_partner_263={0x0102,0x0001}は　ポケモンセンターで[0x000A]リフレッシュ　したみたい！
msg_partner_264={0x0102,0x0001}は　交換で[0x000A]やってきた　{0x0102,0x0006}に{0xBE00}[0x000A]興味が　あるみたい
msg_partner_265={0x0102,0x0001}は　{0x0100,0x0006}との[0x000A]対戦で　興奮　してる！
msg_partner_266={0x0102,0x0001}は　苦しそうだ！
msg_partner_267={0x0102,0x0001}は　冷たくて[0x000A]震えている……
msg_partner_268={0x0102,0x0001}は[0x000A]ゆったり　している
msg_partner_269={0x0102,0x0001}は[0x000A]まったり　している
msg_partner_270={0x0102,0x0001}は　ふてくされている！
msg_partner_271={0x0102,0x0001}は　{0x0100,0x0000}と[0x000A]一緒に　歩けて　嬉しそう！
msg_partner_272={0x0102,0x0001}は[0x000A]楽しそうに　体を　揺らしてる！
msg_partner_273={0x0102,0x0001}は[0x000A]ちょっぴり　寂しそう……
msg_partner_274={0x0102,0x0001}は[0x000A]なんだか　拗ねている！
msg_partner_275={0x0102,0x0001}は[0x000A]落ち込んでいる　ようだ……{0xBE00}[0x000A]励まして　あげますか？
msg_partner_276={0x0102,0x0001}は[0x000A]心なしか　動きが　軽やか！
msg_partner_277={0x0102,0x0001}は[0x000A]とても　落ち着いている
msg_partner_278={0x0102,0x0001}は[0x000A]ソワソワ　している
msg_partner_279={0x0102,0x0001}は[0x000A]興奮　している！
msg_partner_280={0x0102,0x0001}は　大はしゃぎ　だ！
msg_partner_281={0x0102,0x0001}は[0x000A]とても　落ち着いている
msg_partner_282=あまりの　嬉しさに[0x000A]飛び跳ねて　しまった　みたい！
msg_partner_283={0x0102,0x0001}は[0x000A]草の　かおりを　嗅いでいる
msg_partner_284=日差しが　暖かくて[0x000A]気持ち良さそうに　している
msg_partner_285=爽やかな　風が　吹いていて[0x000A]とても　気持ち良さそう　だ！
msg_partner_286=地面に　うつる　木漏れ日を[0x000A]じっと　見つめている
msg_partner_287=木の　音に　びっくり　したみたい！
msg_partner_288={0x0102,0x0001}は　早く[0x000A]先に　進みたい　みたい！
msg_partner_289={0x0102,0x0001}は　少し[0x000A]水に　怯えている
msg_partner_290={0x0102,0x0001}は　橋の　上を[0x000A]楽しそうに　歩いている！
msg_partner_291=！[0x000A]……橋が　揺れて　驚いてる！
msg_partner_292={0x0102,0x0001}は　不思議な　装置の[0x000A]ことが　気になる　みたい！
msg_partner_293=少し　怯えている……[0x000A]通路が　暗くて　怖いのかな？
msg_partner_294={0x0102,0x0001}は[0x000A]大きな声で　鳴いた！
msg_partner_295=地下通路に　鳴き声が　響いた！[0x000A]{0x0102,0x0001}は　楽しそうだ
msg_partner_296={0x0102,0x0001}は[0x000A]ゴミ箱の　中が　気になる　みたい
msg_partner_297={0x0102,0x0001}は　観客に[0x000A]向かって　アピール　した！
msg_partner_298={0x0102,0x0001}は　複雑な　顔を[0x000A]している……{0xBE00}[0x000A]変な　匂いが　するみたい！
msg_partner_299={0x0102,0x0001}は[0x000A]たくさんの　ディグダに　囲まれて{0xBE00}[0x000A]幸せそう！
msg_partner_300={0x0102,0x0001}は[0x000A]なんだか　怯えている……
msg_partner_301={0x0102,0x0001}は[0x000A]突然　後ろを　振り向いた！{0xBE00}[0x000A]……なにかを　気にしている　みたい
msg_partner_302={0x0102,0x0001}は[0x000A]何故だか　落ち着いている
msg_partner_303={0x0102,0x0001}は　じっと[0x000A]なにかを　考えている
msg_partner_304=くんくん……[0x000A]ジムの　匂いを　嗅いでいる！
msg_partner_305={0x0102,0x0001}は　ビルが　高くて[0x000A]どきどき　している！
msg_partner_306={0x0102,0x0001}は　ビルの　あかりを[0x000A]見つめている
msg_partner_307={0x0102,0x0001}は[0x000A]部屋の　匂いを　嗅いでいる！{0xBE00}[0x000A]畳が　気になるのかな？
msg_partner_308={0x0102,0x0001}は[0x000A]のびのびと　している
msg_partner_309={0x0102,0x0001}は　床の　軋む[0x000A]音に　驚いた！
msg_partner_310={0x0102,0x0001}は　気持ち良さそうに[0x000A]泳いでいる！
msg_partner_311={0x0102,0x0001}は[0x000A]激しく　流れる　水に{0xBE00}[0x000A]興味津々　だ！
msg_partner_312={0x0102,0x0001}は　激しく　流れる[0x000A]水に　驚いている！
msg_partner_313=静かで　冷たい　空気に[0x000A]{0x0102,0x0001}も　思わず{0xBE00}[0x000A]背筋を　伸ばした
msg_partner_314=不思議そうに　ジムの[0x000A]設備を　見回している
msg_partner_315={0x0102,0x0001}は[0x000A]なにかを　考えている
msg_partner_316={0x0102,0x0001}は[0x000A]気合い　充分　だ！
msg_partner_317={0x0102,0x0001}は　{0x0100,0x0000}を　見て[0x000A]ゆっくりと　頷いた
msg_partner_318={0x0102,0x0001}は　砂の　上を[0x000A]歩くのが　楽しい　みたい
msg_partner_319={0x0102,0x0001}は　砂を　いじって[0x000A]遊んでいる
msg_partner_320=強い　電気を[0x000A]感じる　みたい……
msg_partner_321={0x0102,0x0001}は　きょろきょろ[0x000A]まわりを　見回している
msg_partner_322={0x0102,0x0001}は　なにかの[0x000A]気配を　感じている
msg_partner_323={0x0102,0x0001}は　床の　模様が[0x000A]気になる　みたい！
msg_partner_324={0x0102,0x0001}は　遠くの[0x000A]空を　見つめている
msg_partner_325={0x0100,0x0000}が　なにを　買うのか[0x000A]気になる　みたい
msg_partner_326=遠くの　景色を　見て[0x000A]はしゃいでる！
msg_partner_327=草の　上が　落ち着く　みたい
msg_partner_328={0x0100,0x0000}の[0x000A]部屋が　落ち着く　みたい！
msg_partner_329={0x0102,0x0001}は[0x000A]風車が　気になる　みたい！
msg_partner_330={0x0102,0x0001}は　まわりを　見て[0x000A]少し　戸惑っている！
msg_partner_331=地面が　滑って[0x000A]びっくりした　みたい！
msg_partner_332={0x0102,0x0001}は　地面の[0x000A]タイルを　楽しそうに　見ている
msg_partner_333={0x0102,0x0001}は　カラフルな[0x000A]品揃えを　楽しそうに　見てる！
msg_partner_334={0x0102,0x0001}は[0x000A]ディスプレイが　気になる　みたい
msg_partner_335={0x0102,0x0001}は　壁の　ポスターを[0x000A]きょろきょろ　見ている
msg_partner_336={0x0102,0x0001}は[0x000A]居心地が　良さそうに　している
msg_partner_337={0x0102,0x0001}は[0x000A]慎重に　歩いている
msg_partner_338={0x0102,0x0001}は　うずうず　してる！[0x000A]早く　外に　行きたい　みたい
msg_partner_339=深い　霧に　怯えている……
msg_partner_340={0x0102,0x0001}は[0x000A]遠くの　波を　見つめている
msg_partner_341={0x0102,0x0001}は　床に　ついた[0x000A]足跡を　気にしている！
