msg_partner_001={0x0102,0x0001}が　{0x0100,0x0000}を[0x000A]つっついて　きた！{0xBE00}[0x000A]つっつき　かえしますか？
msg_partner_002={0x0102,0x0001}は　あしに[0x000A]ぺったり　くっついてきた
msg_partner_239={0x0102,0x0001}は[0x000A]キョロキョロ　いしを　ながめてる
msg_partner_240={0x0102,0x0001}は[0x000A]うみを　ジーッと　みつめてる
msg_partner_241={0x0102,0x0001}は[0x000A]よだれを　たらしてる……
msg_partner_242={0x0102,0x0001}は　のどを[0x000A]ごくっと　ならした
msg_partner_243={0x0102,0x0001}は[0x000A]いしを　ころころ　ころがしてる
msg_partner_244={0x0102,0x0001}は[0x000A]ゆっくりと　うなずいた
msg_partner_245={0x0102,0x0001}は[0x000A]きあいを　いれている！
msg_partner_246={0x0102,0x0001}は[0x000A]しゅうちゅう　している……
msg_partner_247={0x0102,0x0001}は[0x000A]いきなり　おたけびを　あげた！
msg_partner_248=おや？　{0x0102,0x0001}は　なにかを[0x000A]みつけた　みたい！
msg_partner_249={0x0102,0x0001}は　マサキの　すがたに[0x000A]びっくりした　みたい！
msg_partner_250={0x0102,0x0001}は　プリンの　うたを[0x000A]きいて　うとうと　している
msg_partner_251=あたらしい　なまえが[0x000A]うれしい　みたい！
msg_partner_252={0x0102,0x0001}は　{0x0100,0x0003}に[0x000A]かてたのが　うれしい　みたい！
msg_partner_253={0x0102,0x0001}は[0x000A]あたらしい　バッジを　みて{0xBE00}[0x000A]とっても　うれしそう！
msg_partner_254={0x0102,0x0001}は　{0x0102,0x0002}が[0x000A]うらやましい　みたい……{0xBE00}[0x000A]すこし　かまって　あげますか？
msg_partner_255={0x0102,0x0001}は　{0x0102,0x0002}の[0x000A]みためが　きになる　みたい
msg_partner_256={0x0102,0x0001}は　さっき　つかまえた[0x000A]{0x0102,0x0006}のことが{0xBE00}[0x000A]きになる　みたい！
msg_partner_257={0x0102,0x0001}は　{0x0100,0x0000}が[0x000A]しょうぶに　かって　うれしいみたい！
msg_partner_258={0x0102,0x0001}は　{0x0100,0x0000}が[0x000A]ひろった　{0x0109,0x0003}を{0xBE00}[0x000A]きにしている！
msg_partner_259={0x0102,0x0001}は　かったものが[0x000A]きになる　みたい
msg_partner_260={0xBDFF:0x0103}
msg_partner_262={0x0100,0x0000}の　ふくそうを[0x000A]じろじろ　みてる！
msg_partner_263={0x0102,0x0001}は　ポケモンセンターで[0x000A]リフレッシュ　したみたい！
msg_partner_264={0x0102,0x0001}は　こうかんで[0x000A]やってきた　{0x0102,0x0006}に{0xBE00}[0x000A]きょうみが　あるみたい
msg_partner_265={0x0102,0x0001}は　{0x0100,0x0006}との[0x000A]たいせんで　こうふん　してる！
msg_partner_266={0x0102,0x0001}は　くるしそうだ！
msg_partner_267={0x0102,0x0001}は　つめたくて[0x000A]ふるえている……
msg_partner_268={0x0102,0x0001}は[0x000A]ゆったり　している
msg_partner_269={0x0102,0x0001}は[0x000A]まったり　している
msg_partner_270={0x0102,0x0001}は　ふてくされている！
msg_partner_271={0x0102,0x0001}は　{0x0100,0x0000}と[0x000A]いっしょに　あるけて　うれしそう！
msg_partner_272={0x0102,0x0001}は[0x000A]たのしそうに　からだを　ゆらしてる！
msg_partner_273={0x0102,0x0001}は[0x000A]ちょっぴり　さびしそう……
msg_partner_274={0x0102,0x0001}は[0x000A]なんだか　すねている！
msg_partner_275={0x0102,0x0001}は[0x000A]おちこんでいる　ようだ……{0xBE00}[0x000A]はげまして　あげますか？
msg_partner_276={0x0102,0x0001}は[0x000A]こころなしか　うごきが　かろやか！
msg_partner_277={0x0102,0x0001}は[0x000A]とても　おちついている
msg_partner_278={0x0102,0x0001}は[0x000A]ソワソワ　している
msg_partner_279={0x0102,0x0001}は[0x000A]こうふん　している！
msg_partner_280={0x0102,0x0001}は　おおはしゃぎ　だ！
msg_partner_281={0x0102,0x0001}は[0x000A]とても　おちついている
msg_partner_282=あまりの　うれしさに[0x000A]とびはねて　しまった　みたい！
msg_partner_283={0x0102,0x0001}は[0x000A]くさの　かおりを　かいでいる
msg_partner_284=ひざしが　あたたかくて[0x000A]きもちよさそうに　している
msg_partner_285=さわやかな　かぜが　ふいていて[0x000A]とても　きもちよさそう　だ！
msg_partner_286=じめんに　うつる　こもれびを[0x000A]じっと　みつめている
msg_partner_287=きの　おとに　びっくり　したみたい！
msg_partner_288={0x0102,0x0001}は　はやく[0x000A]さきに　すすみたい　みたい！
msg_partner_289={0x0102,0x0001}は　すこし[0x000A]みずに　おびえている
msg_partner_290={0x0102,0x0001}は　はしの　うえを[0x000A]たのしそうに　あるいている！
msg_partner_291=！[0x000A]……はしが　ゆれて　おどろいてる！
msg_partner_292={0x0102,0x0001}は　ふしぎな　そうちの[0x000A]ことが　きになる　みたい！
msg_partner_293=すこし　おびえている……[0x000A]つうろが　くらくて　こわいのかな？
msg_partner_294={0x0102,0x0001}は[0x000A]おおきなこえで　ないた！
msg_partner_295=ちかつうろに　なきごえが　ひびいた！[0x000A]{0x0102,0x0001}は　たのしそうだ
msg_partner_296={0x0102,0x0001}は[0x000A]ゴミばこの　なかが　きになる　みたい
msg_partner_297={0x0102,0x0001}は　かんきゃくに[0x000A]むかって　アピール　した！
msg_partner_298={0x0102,0x0001}は　ふくざつな　かおを[0x000A]している……{0xBE00}[0x000A]へんな　においが　するみたい！
msg_partner_299={0x0102,0x0001}は[0x000A]たくさんの　ディグダに　かこまれて{0xBE00}[0x000A]しあわせそう！
msg_partner_300={0x0102,0x0001}は[0x000A]なんだか　おびえている……
msg_partner_301={0x0102,0x0001}は[0x000A]とつぜん　うしろを　ふりむいた！{0xBE00}[0x000A]……なにかを　きにしている　みたい
msg_partner_302={0x0102,0x0001}は[0x000A]なぜだか　おちついている
msg_partner_303={0x0102,0x0001}は　じっと[0x000A]なにかを　かんがえている
msg_partner_304=くんくん……[0x000A]ジムの　においを　かいでいる！
msg_partner_305={0x0102,0x0001}は　ビルが　たかくて[0x000A]どきどき　している！
msg_partner_306={0x0102,0x0001}は　ビルの　あかりを[0x000A]みつめている
msg_partner_307={0x0102,0x0001}は[0x000A]へやの　においを　かいでいる！{0xBE00}[0x000A]たたみが　きになるのかな？
msg_partner_308={0x0102,0x0001}は[0x000A]のびのびと　している
msg_partner_309={0x0102,0x0001}は　ゆかの　きしむ[0x000A]おとに　おどろいた！
msg_partner_310={0x0102,0x0001}は　きもちよさそうに[0x000A]およいでいる！
msg_partner_311={0x0102,0x0001}は[0x000A]はげしく　ながれる　みずに{0xBE00}[0x000A]きょうみしんしん　だ！
msg_partner_312={0x0102,0x0001}は　はげしく　ながれる[0x000A]みずに　おどろいている！
msg_partner_313=しずかで　つめたい　くうきに[0x000A]{0x0102,0x0001}も　おもわず{0xBE00}[0x000A]せすじを　のばした
msg_partner_314=ふしぎそうに　ジムの[0x000A]せつびを　みまわしている
msg_partner_315={0x0102,0x0001}は[0x000A]なにかを　かんがえている
msg_partner_316={0x0102,0x0001}は[0x000A]きあい　じゅうぶん　だ！
msg_partner_317={0x0102,0x0001}は　{0x0100,0x0000}を　みて[0x000A]ゆっくりと　うなずいた
msg_partner_318={0x0102,0x0001}は　すなの　うえを[0x000A]あるくのが　たのしい　みたい
msg_partner_319={0x0102,0x0001}は　すなを　いじって[0x000A]あそんでいる
msg_partner_320=つよい　でんきを[0x000A]かんじる　みたい……
msg_partner_321={0x0102,0x0001}は　きょろきょろ[0x000A]まわりを　みまわしている
msg_partner_322={0x0102,0x0001}は　なにかの[0x000A]けはいを　かんじている
msg_partner_323={0x0102,0x0001}は　ゆかの　もようが[0x000A]きになる　みたい！
msg_partner_324={0x0102,0x0001}は　とおくの[0x000A]そらを　みつめている
msg_partner_325={0x0100,0x0000}が　なにを　かうのか[0x000A]きになる　みたい
msg_partner_326=とおくの　けしきを　みて[0x000A]はしゃいでる！
msg_partner_327=くさの　うえが　おちつく　みたい
msg_partner_328={0x0100,0x0000}の[0x000A]へやが　おちつく　みたい！
msg_partner_329={0x0102,0x0001}は[0x000A]ふうしゃが　きになる　みたい！
msg_partner_330={0x0102,0x0001}は　まわりを　みて[0x000A]すこし　とまどっている！
msg_partner_331=じめんが　すべって[0x000A]びっくりした　みたい！
msg_partner_332={0x0102,0x0001}は　じめんの[0x000A]タイルを　たのしそうに　みている
msg_partner_333={0x0102,0x0001}は　カラフルな[0x000A]しなぞろえを　たのしそうに　みてる！
msg_partner_334={0x0102,0x0001}は[0x000A]ディスプレイが　きになる　みたい
